,ID,BBL_MapPLU,EnergyStar,LetterGrad,YearBuilt,OwnerName,NumBldgs,NumFloors,UnitsRes,ResArea,Latitude,Longitude,BBL,YearAlter1,YearAlter2,boro_cd,shape_area,shape_leng,geometry,sqft_per_unit
0,233,1000930034,100,A,1973,"ROYAL CHARTER PROPERTIES, INC.",1,17.0,90,79079,40.7096605,-74.0051832,1000930034.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0051832 40.7096605),878.6555555555556
1,235,1000950027,52,D,1981,ST MARGARET'S HOUSE,1,20.0,251,208576,40.7082662,-74.0041191,1000950027.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0041191 40.7082662),830.9800796812749
2,244,1001067502,66,C,1882,THE BINDERY CONDO,1,5.0,48,37646,40.7089607,-74.0018395,1001067502.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0018395 40.7089607),784.2916666666666
3,32,1000160205,32,D,1998,"BROOKDALE DEVELOPMENT, LLC",1,14.0,218,239185,40.7175207,-74.014545,1000160205.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.014545 40.7175207),1097.1788990825687
4,415,1002177501,90,A,1853,UNAVAILABLE OWNER,1,11.0,33,91497,40.7220829,-74.0111224,1002177501.0,2001,2001,101,41686683.0872,69053.5448902,POINT (-74.0111224 40.7220829),2772.6363636363635
5,346,1001887505,1,D,1905,UNAVAILABLE OWNER,1,7.0,25,70758,40.7204746,-74.0092931,1001887505.0,1985,2007,101,41686683.0872,69053.5448902,POINT (-74.0092931 40.7204746),2830.32
6,336,1001797506,48,D,1915,UNAVAILABLE OWNER,1,8.0,30,77625,40.7184518,-74.0079977,1001797506.0,1999,0,101,41686683.0872,69053.5448902,POINT (-74.0079977 40.7184518),2587.5
7,408,1002127505,69,C,1900,UNAVAILABLE OWNER,1,10.0,27,97000,40.7206258,-74.006187,1002127505.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.006187 40.7206258),3592.5925925925926
8,416,1002177503,86,A,1906,EL-AD 250 WEST LLC,1,12.0,103,225630,40.7218331,-74.011162,1002177503.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.011162 40.7218331),2190.5825242718447
9,418,1002180002,99,A,1900,LAIGHT COOP CORP,1,10.0,10,28016,40.7223547,-74.010354,1002180002.0,1984,2008,101,41686683.0872,69053.5448902,POINT (-74.010354 40.7223547),2801.6
10,423,1002197505,66,C,2008,UNAVAILABLE OWNER,1,9.0,7,27210,40.7224646,-74.0087702,1002197505.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0087702 40.7224646),3887.1428571428573
11,429,1002227502,21,D,1920,UNAVAILABLE OWNER,1,7.0,27,70622,40.723085,-74.008424,1002227502.0,1999,1999,101,41686683.0872,69053.5448902,POINT (-74.008424 40.723085),2615.6296296296296
12,430,1002227503,79,B,1905,UNAVAILABLE OWNER,1,0.0,53,171577,40.7230602,-74.0091239,1002227503.0,2010,0,101,41686683.0872,69053.5448902,POINT (-74.0091239 40.7230602),3237.301886792453
13,421,1002187504,55,C,2010,THE FAIRCHILD & FOSTER CONDOMINIUMS,1,9.0,20,45838,40.7225908,-74.0102458,1002187504.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0102458 40.7225908),2291.9
14,1160,1005950041,61,C,1900,474 GREENWICH CORP,1,6.0,13,25159,40.7244655,-74.0096219,1005950041.0,0,0,101,41686683.0872,69053.5448902,POINT (-74.0096219 40.7244655),1935.3076923076924
15,303,1001610001,36,D,1965,CHATHAM TOWERS INC,3,25.0,250,306862,40.7136515,-73.9998774,1001610001.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9998774 40.7136515),1227.448
16,474,1002480070,21,D,1987,TWO  BRIDGES SENIOR APARTMENTS LP,1,10.0,109,83904,40.710802,-73.9901925,1002480070.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9901925 40.710802),769.7614678899082
17,479,1002560014,8,D,1965,NYC HOUSING AUTHORITY,1,16.0,150,101786,40.7116528,-73.9885872,1002560014.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9885872 40.7116528),678.5733333333334
18,480,1002580001,8,D,1955,NYC HOUSING AUTHORITY,4,16.0,492,431685,40.712303,-73.9859106,1002580001.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9859106 40.712303),877.4085365853658
19,485,1002630001,17,D,1940,NYC HOUSING AUTHORITY,4,6.0,236,158000,40.7129362,-73.9802617,1002630001.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9802617 40.7129362),669.4915254237288
20,486,1002630008,34,D,1955,EAST RIVER HOUSING CORP,2,20.0,833,923000,40.7129497,-73.9789847,1002630008.0,0,0,103,46879983.8372,30468.3021666,POINT (-73.9789847 40.7129497),1108.0432172869148
21,491,1002670037,89,A,1908,MADISON ST (371) RLTY CP,1,6.0,117,101579,40.7137186,-73.9814374,1002670037.0,2000,2008,103,46879983.8372,30468.3021666,POINT (-73.9814374 40.7137186),868.1965811965812
