borough,boro_cd,cd_neighborhoods
Bronx,201,"Melrose, Mott Haven, Port Morris"
Bronx,202,"Hunts Point, Longwood"
Bronx,203,"Morrisania, Crotona Park East"
Bronx,204,"Highbridge, Concourse Village"
Bronx,205,"University Hts., Fordham, Mt. Hope"
Bronx,206,"East Tremont, Belmont"
Bronx,207,"Bedford Park, Norwood, Fordham"
Bronx,208,"Riverdale, Kingsbridge, Marble Hill"
Bronx,209,"Soundview, Parkchester"
Bronx,210,"Throgs Nk., Co-op City, Pelham Bay"
Bronx,211,"Pelham Pkwy, Morris Park, Laconia"
Bronx,212,"Wakefield, Williamsbridge"
Brooklyn,301,"Williamsburg, Greenpoint"
Brooklyn,302,"Brooklyn Heights, Fort Greene"
Brooklyn,303,Bedford Stuyvesant
Brooklyn,304,Bushwick
Brooklyn,305,"East New York, Starrett City"
Brooklyn,306,"Park Slope, Carroll Gardens"
Brooklyn,307,"Sunset Park, Windsor Terrace"
Brooklyn,308,Crown Heights North
Brooklyn,309,"Crown Heights South, Wingate"
Brooklyn,310,"Bay Ridge, Dyker Heights"
Brooklyn,311,"Bensonhurst, Bath Beach "
Brooklyn,312,"Borough Park, Ocean Parkway"
Brooklyn,313,"Coney Island, Brighton Beach"
Brooklyn,314,"Flatbush, Midwood"
Brooklyn,315,"Sheepshead Bay, Gerritsen Beach"
Brooklyn,316,"Brownsville, Ocean Hill"
Brooklyn,317,"East Flatbush, Rugby, Farragut"
Brooklyn,318,"Canarsie, Flatlands"
Manhattan,101,"Battery Park City, Tribeca"
Manhattan,102,"Greenwich Village, Soho"
Manhattan,103,"Lower East Side, Chinatown"
Manhattan,104,"Chelsea, Clinton"
Manhattan,105,Midtown Business District
Manhattan,106,"Stuyvesant Town, Turtle Bay"
Manhattan,107,"West Side, Upper West Side"
Manhattan,108,Upper East Side
Manhattan,109,"Manhattanville, Hamilton Heights"
Manhattan,110,Central Harlem
Manhattan,111,East Harlem
Manhattan,112,"Washington Heights, Inwood"
Queens,401,"Astoria, Long Island City"
Queens,402,"Sunnyside, Woodside"
Queens,403,"Jackson Heights, North Corona"
Queens,404,"Elmhurst, South Corona"
Queens,405,"Ridgewood, Glendale, Maspeth"
Queens,406,"Forest Hills, Rego Park"
Queens,407,"Flushing, Bay Terrace"
Queens,408,"Fresh Meadows, Briarwood"
Queens,409,"Woodhaven, Richmond Hill"
Queens,410,"Ozone Park, Howard Beach"
Queens,411,"Bayside, Douglaston, Little Neck"
Queens,412,"Jamaica, St. Albans, Hollis"
Queens,413,"Queens Village, Rosedale"
Queens,414,"The Rockaways, Broad Channel"
Staten Island,501,"Stapleton, Port Richmond"
Staten Island,502,"New Springville, South Beach"
Staten Island,503,"Tottenville, Woodrow, Great Kills"
