10 Digit BBL,Boro,Block,Lot,Esmnt,Building Class ,Tax Class ,Building Count ,DOF Gross Square Footage,Street Number ,Street Name ,Zip Code ,"Multiple Buildings less than 50,000 with one of the buildings on the tax lot greater than 25,000 GSF"
1000010010,1,1,10,,Y4,4,86," 	2,598,091 ",1,GOVERNORS ISLAND,10004,
1000020001,1,2,1,,Y7,4,1," 	280,000 ",4,SOUTH STREET,10004,
1000020002,1,2,2,,Y7,4,1," 	158,197 ",10,SOUTH STREET,10004,
1000030001,1,3,1,,Q1,4,6," 	945,425 ",10,BATTERY PARK,10004,
1000047501,1,4,7501,,R0,2,1," 	2,542,563 ",1,WATER STREET,10004,
1000050010,1,5,10,,O4,4,1," 	1,016,406 ",115,BROAD STREET,10004,
1000057501,1,5,7501,,R0,2,1," 	1,354,691 ",125,BROAD STREET,10004,
1000080039,1,8,39,,H3,4,1," 	46,724 ",32,PEARL STREET,10004,
1000080051,1,8,51,,H2,4,1," 	102,407 ",6,WATER STREET,10004,
1000087501,1,8,7501,,R0,2,1," 	169,061 ",39,WHITEHALL STREET,10004,
1000090001,1,9,1,,O4,4,1," 	692,431 ",34,WHITEHALL STREET,10004,
1000090014,1,9,14,,O4,4,1," 	544,015 ",17,STATE STREET,10004,
1000090029,1,9,29,,O4,4,1," 	896,956 ",24,STATE STREET,10004,
1000100001,1,10,1,,K2,4,1," 	26,013 ",100,BROAD STREET,10004,
1000100014,1,10,14,,O4,4,1," 	365,792 ",33,WHITEHALL STREET,10004,
1000100016,1,10,16,,O4,4,1," 	336,025 ",90,BROAD STREET,10004,
1000100023,1,10,23,,O4,4,1," 	321,994 ",1,WHITEHALL STREET,10004,
1000100033,1,10,33,,H2,4,1," 	143,731 ",8,STONE STREET,10004,
1000110014,1,11,14,,D4,2,1," 	51,387 ",26,BEAVER STREET,10004,
1000110021,1,11,21,,O4,4,1," 	361,710 ",80,BROAD STREET,10004,
1000110029,1,11,29,,H2,4,1," 	59,410 ",11,STONE STREET,10004,
1000130001,1,13,1,,O6,4,1," 	180,646 ",1,BROADWAY,10004,
1000130005,1,13,5,,O4,4,1," 	434,220 ",11,BROADWAY,10004,
1000130027,1,13,27,,O4,4,1," 	809,401 ",25,BROADWAY,10004,
1000150022,1,15,22,,D8,2,1," 	335,746 ",21,WEST STREET,10006,
1000157501,1,15,7501,,R0,2,2," 	1,402,831 ",17,BATTERY PLACE,10004,
1000157502,1,15,7502,,R0,2,1," 	259,076 ",20,WEST STREET,10004,
1000160001,1,16,1,,K2,4,1," 	28,732 ",22,BATTERY PLACE,10004,
1000160010,1,16,10,,P7,4,1," 	114,100 ",18,1 PLACE,10280,
1000160015,1,16,15,,D8,2,1," 	239,165 ",50,BATTERY PLACE,10280,
1000160020,1,16,20,,D8,2,1," 	230,765 ",70,BATTERY PLACE,10280,
1000160040,1,16,40,,W1,4,1," 	134,082 ",55,BATTERY PLACE,10280,
1000160100,1,16,100,,D6,2,6," 	1,881,621 ",345,SOUTH END AVENUE,10280,
1000160120,1,16,120,,O4,4,1," 	1,501,878 ",200,LIBERTY STREET,10281,
1000160125,1,16,125,,O4,4,2," 	2,267,925 ",225,LIBERTY STREET,10280,
1000160140,1,16,140,,O4,4,1," 	2,233,692 ",200,VESEY STREET,10281,
1000160150,1,16,150,,O4,4,1," 	2,084,079 ",250,VESEY STREET,10281,
1000160180,1,16,180,,D8,2,1," 	356,786 ",20,RIVER TERRACE,10282,
1000160185,1,16,185,,D8,2,1," 	283,905 ",211,NORTH END AVENUE,10282,
1000160195,1,16,195,,D8,2,1," 	356,483 ",325,NORTH END AVENUE,10282,
1000160205,1,16,205,,D8,2,1," 	239,185 ",455,NORTH END AVENUE,10282,
1000160210,1,16,210,,D8,2,1," 	357,000 ",399,CHAMBERS STREET,10282,
1000160215,1,16,215,,W1,4,1," 	450,000 ",345,CHAMBERS STREET,10282,
1000160220,1,16,220,,W1,4,1," 	105,177 ",201,WARREN STREET,10282,
1000160221,1,16,221,,D8,2,1," 	244,617 ",450,NORTH END AVENUE,10282,
1000160225,1,16,225,,O6,4,1," 	502,000 ",1,NORTH END AVENUE,10282,
